band,name,title,video_id,comment,dislike,like,view
TPE48,Shih-Ya Chen,TPE48  陳 詩雅 (SHIH-YA CHEN / チェン シーヤー),ZZ6kBIs6DSU,,,,18370
TPE48,Shih-Yuan Chen,TPE48  陳 詩媛 (SHIH-YUAN CHEN / チェン シーユエン),JPNvnqGCVo4,,,,9503
TPE48,Yuzuka Honda,TPE48  本田 柚萱 (YUZUKA HONDA / ホンダ ユズカ),OsUbHP0VbPU,,,,12051
TPE48,Pin-Han Chiu,TPE48  邱 品涵 (PIN-HAN CHIU / チウ ピンハン),CAe8LofQSt4,,,,8209
TPE48,Tik Kei Sin,TPE48  冼 迪琦 (TIK KEI SIN / シェー ディーチー),RLcU1X4BV6c,,,,16865
BNK48,Cherprang Areekul,BNK48 キャプテン [Captain]  CHERPRANG (CHERPRANG AREEKUL / チャープラン),Uk-uRg4JNfQ,,,,289013
BNK48,Rina Izuta,BNK48 Team BIII  IZURINA (伊豆田 莉奈 / イズリナ),jkTaeNGmFLM,,,,126416
BNK48,Napaphat Worraphuttanon,BNK48 Team BIII  JAA (NAPAPHAT WORRAPHUTTANON / ジャー),1IlNlUV1eMo,,,,40094
BNK48,Jennis Oprasert,BNK48 Team BIII 副キャプテン [Vice Captain]  JENNIS (JENNIS OPRASERT / ジェニス),Ps8iWW68ys4,,,,160969
BNK48,Warattaya Deesomlert,BNK48 Team BIII  KAIMOOK (WARATTAYA DEESOMLERT / カイムック),mELcHJ4BFpY,,,,111567
BNK48,Korapat Nilprapa,BNK48 Team BIII  KATE (KORAPAT NILPRAPA / ケート),XLWAiENfkoc,,,,54931
BNK48,Miori Ohkubo,BNK48 Team BIII  MIORI (大久保 美織 / ミオリ),Hf4o9u-Aby4,,,,102570
BNK48,Praewa Suthamphong,BNK48 Team BIII  MUSIC (PRAEWA SUTHAMPHONG / ミュージック),OTWBg_wO4G0,,,,217197
BNK48,Sawitchaya Kajonrungsilp,BNK48 Team BIII  SATCHAN (SAWITCHAYA KAJONRUNGSILP / サッチャン),jaYn1M4ZvK8,,,,128068
BNK48,Mananya Kaoju,BNK48 研究生 [Trainee]  NINK (MANANYA KAOJU / ニンク),QLgGqYuaQ-0,,,,51180
STU48,Chiho Ishida,STU48 石田 千穂 (CHIHO ISHIDA),CDUqC-FkBtA,,,,12362
STU48,Minami Ishida,STU48 石田 みなみ (MINAMI ISHIDA),zUqjT4iU3_A,,,,4054
STU48,Kanon Isogai,STU48 磯貝 花音 (KANON ISOGAI),dXa80CXqn48,,,,2840
STU48,Ayumi Ichioka,STU48 市岡 愛弓 (AYUMI ICHIOKA),5gSmV_8UTQ0,,,,5597
STU48,Mitsuki Imamura,STU48 今村 美月 (MITSUKI IMAMURA),IURoYpdyszQ,,,,3168
STU48,Hina Iwata,STU48 岩田 陽菜 (HINA IWATA),Rqtgmcs3wHs,,,,8157
STU48,Marina Otani,STU48 大谷 満理奈 (MARINA OTANI),y1DwKSQWxQ0,,,,3563
STU48,Kokoa Kai,STU48 甲斐 心愛 (KOKOA KAI),GkiKq7Qpk0A,,,,4216
STU48,Momona Kadota,STU48 門田 桃奈 (MOMONA KADOTA),ADAptf0knMw,,,,1980
STU48,Miyuna Kadowaki,STU48 門脇 実優菜 (MIYUNA KADOWAKI),8TMQcNaFSqw,,,,2742
STU48,Miyu Sakaki,STU48 榊 美優 (MIYU SAKAKI),jgOmCT5vL-M,,,,3346
STU48,Haruka Sano,STU48 佐野 遥 (HARUKA SANO),Mkc3TmuW05Q,,,,2020
STU48,Hinako Shioi,STU48 塩井 日奈子 (HINAKO SHIOI),F45YIcRlCf8,,,,1734
STU48,Nonoka Shintani,STU48 新谷 野々花 (NONOKA SHINTANI),YZYmdH83V5E,,,,2501
STU48,Saki Sugahara,STU48 菅原 早記 (SAKI SUGAHARA),GG0g3vCnz9Q,,,,1628
STU48,Yumiko Takino,STU48 瀧野 由美子 (YUMIKO TAKINO),49tGyElQkdI,,,,23971
STU48,Kouko Tanaka,STU48 田中 皓子 (KOUKO TANAKA),L-APjQGkTpM,,,,3532
STU48,Mahina Taniguchi,STU48 谷口 茉妃菜 (MAHINA TANIGUCHI),o4s9QX0_E6A,,,,1443
STU48,Yuri Torobu,STU48 土路生 優里 (YURI TOROBU),Uan1_voWnl8,,,,4278
STU48,Aoi Hyodo,STU48 兵頭 葵 (AOI HYODO),cSaLlUg1D5o,,,,1701
STU48,Akari Fukuda,STU48 福田 朱里 (AKARI FUKUDA),Q3mekuyeHoM,,,,3387
STU48,Azusa Fujiwara,STU48 藤原 あずさ (AZUSA FUJIWARA),Mi9OuLzP2dM,,,,1982
STU48,Haruka Mishima,STU48 三島 遥香 (HARUKA MISHIMA),5oEPaqqWzdk,,,,1378
STU48,Arisa Mineyoshi,STU48 峯吉 愛梨沙 (ARISA MINEYOSHI),fRZbnyLDXmw,,,,3024
STU48,Kaho Mori,STU48 森 香穂 (KAHO MORI),EZNPoxuQiMA,,,,1634
STU48,Maiha Morishita,STU48 森下 舞羽 (MAIHA MORISHITA),-Xez4_UaEIo,,,,1851
STU48,Honoka Yano,STU48 矢野 帆夏 (HONOKA YANO),QfQaS1J-ss4,,,,2201
STU48,Fu Yabushita,STU48 薮下 楓 (FU YABUSHITA),Bs_7QV5mTpc,,,,9296
STU48,Yuka Oki,STU48 ドラフト研究生 [Draft trainee]  沖 侑果 (YUKA OKI),VsrnkS5JRns,,,,3180
STU48,Soraha Shinano,STU48 ドラフト研究生 [Draft trainee]  信濃 宙花 (SORAHA SHINANO),vi5EAlY5xbM,,,,2294
STU48,Mai Nakamura,STU48 ドラフト研究生 [Draft trainee]  中村 舞 (MAI NAKAMURA),ecVAMbxMdSc,,,,3464
STU48,Aiko Mizoguchi,STU48 ドラフト研究生 [Draft trainee]  溝口 亜以子 (AIKO MIZOGUCHI),y28OPwGXGBs,,,,2240
STU48,Akari Yura,STU48 ドラフト研究生 [Draft trainee]  由良 朱合 (AKARI YURA),9_6qcrg5Gjs,,,,2319
NGT48,Yuka Ogino,NGT48Team NIII 副キャプテン [Vice Captain]  荻野 由佳 (YUKA OGINO),MTRFZBVGgqk,,,,69974
NGT48,Tsugumi Oguma,NGT48 Team NIII  小熊 倫実 (TSUGUMI OGUMA),FReUJJzzCA8,,,,15112
NGT48,Minami Kato,NGT48 Team NIII  加藤 美南 (MINAMI KATO),Sz2k-_DFDwE,,,,43302
NGT48,Anju Sato,NGT48 Team NIII  佐藤 杏樹 (ANJU SATO),eRy9ZgmSPO4,,,,8098
NGT48,Riko Sugahara,NGT48 Team NIII  菅原 りこ (RIKO SUGAHARA),RTvWhiWsOtM,,,,9160
NGT48,Moeka Takakura,NGT48 Team NIII  高倉 萌香 (MOEKA TAKAKURA),LUc8InWywt8,,,,16417
NGT48,Ayaka Tano,NGT48 Team NIII  太野 彩香 (AYAKA TANO),QsWk6cObgoU,,,,7362
NGT48,Rika Nakai,NGT48 Team NIII  中井 りか (RIKA NAKAI),urP08SlVVxg,,,,98226
NGT48,Marina Nishigata,NGT48 Team NIII  西潟 茉莉奈 (MARINA NISHIGATA),5fS-G3Wxb4w,,,,12764
NGT48,Rena Hasegawa,NGT48 Team NIII  長谷川 玲奈 (RENA HASEGAWA),GC-0Y1IJERA,,,,6807
NGT48,Hinata Homma,NGT48 Team NIII  本間 日陽 (HINATA HOMMA),o36cAEuu0f0,,,,31293
NGT48,Fuka Murakumo,NGT48 Team NIII  村雲 颯香 (FUKA MURAKUMO),Mxp7Y8UjSo4,,,,7154
